,사고일시,사고월,사고시,사고요일,시간대,시군구,대분류,중분류,소분류,사고내용,사망자수,중상자수,경상자수,부상신고자수,법규위반,노면상태,기상상태,도로형태,가해운전자 성별,가해운전자 연령,주말,공휴일,휴일,부상자수,ECLO,교통안전지수,도로환경,주류 인허가 음식점,사고건수
3477,2022-08-15 05:00:00,8월,05시,월요일,아침,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,27세,0,1,1,0,3,77.4,79.28,2247.0,1
3478,2022-08-15 20:00:00,8월,20시,월요일,저녁,서울특별시 금천구 가산동,서울특별시,금천구,가산동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 기타,남,53세,0,1,1,0,6,76.2,69.31,1090.0,2
3479,2022-08-16 18:00:00,8월,18시,화요일,퇴근,서울특별시 강남구 청담동,서울특별시,강남구,청담동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,60세,0,0,0,0,5,71.06,65.21,971.0,2
3480,2022-08-17 00:00:00,8월,00시,수요일,새벽,서울특별시 동대문구 장안동,서울특별시,동대문구,장안동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,36세,0,0,0,0,3,71.64,71.44,977.0,1
3481,2022-08-17 00:00:00,8월,00시,수요일,새벽,서울특별시 송파구 거여동,서울특별시,송파구,거여동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,남,33세,0,0,0,0,5,69.29,71.44,259.0,1
3482,2022-08-17 01:00:00,8월,01시,수요일,새벽,서울특별시 금천구 시흥동,서울특별시,금천구,시흥동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,28세,0,0,0,0,3,76.2,69.31,861.0,3
3483,2022-08-17 01:00:00,8월,01시,수요일,새벽,서울특별시 도봉구 창동,서울특별시,도봉구,창동,중상사고,0,1,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,36세,0,0,0,0,8,82.22,85.38,786.0,1
3484,2022-08-17 02:00:00,8월,02시,수요일,새벽,서울특별시 은평구 대조동,서울특별시,은평구,대조동,부상신고사고,0,0,0,1,불법유턴,건조,맑음,교차로 - 교차로안,남,61세,0,0,0,1,1,80.11,82.5,414.0,1
3485,2022-08-17 04:00:00,8월,04시,수요일,새벽,서울특별시 용산구 한남동,서울특별시,용산구,한남동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,미분류 - 미분류,남,45세,0,0,0,0,3,81.45,82.85,771.0,1
3486,2022-08-17 09:00:00,8월,09시,수요일,낮,서울특별시 서초구 방배동,서울특별시,서초구,방배동,경상사고,0,0,3,0,안전운전불이행,건조,맑음,단일로 - 기타,남,24세,0,0,0,0,9,77.61,77.98,1165.0,1
3487,2022-08-17 17:00:00,8월,17시,수요일,퇴근,서울특별시 서초구 방배동,서울특별시,서초구,방배동,경상사고,0,0,4,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,여,45세,0,0,0,0,12,77.61,77.98,1165.0,1
3488,2022-08-17 22:00:00,8월,22시,수요일,밤,서울특별시 영등포구 여의도동,서울특별시,영등포구,여의도동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,57세,0,0,0,0,3,70.74,73.22,1721.0,4
3489,2022-08-18 00:00:00,8월,00시,목요일,새벽,서울특별시 동작구 흑석동,서울특별시,동작구,흑석동,경상사고,0,0,3,0,안전운전불이행,건조,맑음,단일로 - 기타,남,36세,0,0,0,0,9,78.91,80.31,317.0,1
